Time,RSRP,RSRQ,RSSI,SINR Rx[0],SINR Rx[1],Cycles,Test KPI type,Test KPI best,Test KPI worst,Test KPI avg,Intermediate KPI
2017-11-27 14:11:56.795,-74.8,-22.1,-90.4,22.9,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,93307
2017-11-27 14:11:57.260,-74.8,-22.1,-90.4,22.9,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,121032
2017-11-27 14:11:57.320,-75.4,-26.7,-92.3,23.9,23.9,2/0,Application thrpt,42612.8,42612.8,42612.8,121032
2017-11-27 14:11:57.825,-76.1,-22.6,-97.5,23.3,22.8,2/0,Application thrpt,42612.8,42612.8,42612.8,121032
2017-11-27 14:11:58.355,-72.9,-28.3,-80.1,23.7,23.3,2/0,Application thrpt,42612.8,42612.8,42612.8,121032
2017-11-27 14:11:58.830,-73.3,-22.5,-87.4,23.2,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,121032
2017-11-27 14:11:59.260,-73.3,-22.5,-87.4,23.2,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,130098
2017-11-27 14:11:59.350,-72.7,-26.1,-74.6,23.8,23.8,2/0,Application thrpt,42612.8,42612.8,42612.8,130098
2017-11-27 14:11:59.865,-70.6,-23.1,-70.9,24,24.3,2/0,Application thrpt,42612.8,42612.8,42612.8,130098
2017-11-27 14:12:00.350,-74,-27.7,-85.3,23.8,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,130098
2017-11-27 14:12:00.865,-72.1,-22.1,-81.7,24.4,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,130098
2017-11-27 14:12:01.265,-72.1,-22.1,-81.7,24.4,24.2,2/0,Application thrpt,42612.8,42612.8,42612.8,130809
2017-11-27 14:12:01.395,-72.7,-28.1,-80,23.3,22.8,2/0,Application thrpt,42612.8,42612.8,42612.8,130809
2017-11-27 14:12:01.910,-71.1,-22.6,-75.3,23.3,23.4,2/0,Application thrpt,42612.8,42612.8,42612.8,130809
2017-11-27 14:12:02.430,-70.9,-26.9,-72.1,24.1,23.8,2/0,Application thrpt,42612.8,42612.8,42612.8,130809
2017-11-27 14:12:02.910,-68,-23.6,-64.7,24,23.5,2/0,Application thrpt,42612.8,42612.8,42612.8,130809
2017-11-27 14:12:03.265,-68,-23.6,-64.7,24,23.5,2/0,Application thrpt,42612.8,42612.8,42612.8,134469
2017-11-27 14:12:03.440,-70,-28.2,-66.8,23.7,24,2/0,Application thrpt,42612.8,42612.8,42612.8,134469
2017-11-27 14:12:03.945,-67.8,-22.9,-64.3,24.2,23.7,2/0,Application thrpt,42612.8,42612.8,42612.8,134469
2017-11-27 14:12:04.480,-69.6,-25.6,-67.7,24.1,24.3,2/0,Application thrpt,42612.8,42612.8,42612.8,134469
2017-11-27 14:12:04.960,-72.1,-22.4,-82.8,23.9,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,134469
2017-11-27 14:12:05.265,-72.1,-22.4,-82.8,23.9,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,130152
2017-11-27 14:12:05.480,-72.3,-26,-78.9,23.9,23.6,2/0,Application thrpt,42612.8,42612.8,42612.8,130152
2017-11-27 14:12:05.955,-71.1,-11.3,-77,25.1,25.1,2/0,Application thrpt,42612.8,42612.8,42612.8,130152
2017-11-27 14:12:06.475,-70.1,-26.7,-71.6,24,23.8,2/0,Application thrpt,42612.8,42612.8,42612.8,130152
2017-11-27 14:12:06.995,-69.2,-23.2,-70.2,23.7,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,130152
2017-11-27 14:12:07.265,-69.2,-23.2,-70.2,23.7,24.1,2/0,Application thrpt,42612.8,42612.8,42612.8,119392
2017-11-27 14:12:07.480,-69.5,-28.4,-68,23.7,23,2/0,Application thrpt,42612.8,42612.8,42612.8,119392
2017-11-27 14:12:08.0,-71.5,-20.8,-80,23.7,24.6,2/0,Application thrpt,42612.8,42612.8,42612.8,119392
2017-11-27 14:12:08.475,-68.9,-5.4,-69.8,25.3,25,2/0,Application thrpt,42612.8,42612.8,42612.8,119392
2017-11-27 14:12:08.990,-73.1,-23.8,-86.4,23.5,23.3,2/0,Application thrpt,42612.8,42612.8,42612.8,119392
2017-11-27 14:12:09.265,-73.1,-23.8,-86.4,23.5,23.3,2/0,Application thrpt,42612.8,42612.8,42612.8,75376
2017-11-27 14:12:09.515,-70.5,-27.1,-71.8,23.6,23.1,2/0,Application thrpt,42612.8,42612.8,42612.8,75376
2017-11-27 14:12:10.0,-75.5,-23,-91.1,22.3,23,2/0,Application thrpt,42612.8,42612.8,42612.8,75376
2017-11-27 14:12:10.510,-72.6,-8.5,-81.4,24,23.8,2/0,Application thrpt,42612.8,42612.8,42612.8,75376
2017-11-27 14:12:11.25,-76.3,-23.4,-95,22.8,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,75376
2017-11-27 14:12:11.270,-76.3,-23.4,-95,22.8,23.2,2/0,Application thrpt,42612.8,42612.8,42612.8,120577
2017-11-27 14:12:11.520,-74.3,-25.1,-87.2,23.2,22.8,2/0,Application thrpt,42612.8,42612.8,42612.8,120577
2017-11-27 14:12:11.960,-76.7,-24.9,-96.6,23.2,22.5,2/0,Application thrpt,42612.8,42612.8,42612.8,120577
2017-11-27 14:12:12.585,-76.9,-23.3,-94.1,22.5,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,120577
2017-11-27 14:12:13.70,-77.3,-25.3,-96,22.8,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,120577
2017-11-27 14:12:13.270,-77.3,-25.3,-96,22.8,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,129903
2017-11-27 14:12:13.555,-79.4,-23.6,-108.1,23.4,22.8,2/0,Application thrpt,42612.8,42612.8,42612.8,129903
2017-11-27 14:12:14.75,-78.9,-14.9,-102.6,22.6,23,2/0,Application thrpt,42612.8,42612.8,42612.8,129903
2017-11-27 14:12:14.595,-78,-23.9,-103.3,23.4,23.4,2/0,Application thrpt,42612.8,42612.8,42612.8,129903
2017-11-27 14:12:15.70,-80.1,-23.8,-106.8,22.8,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,129903
2017-11-27 14:12:15.270,-80.1,-23.8,-106.8,22.8,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,112006
2017-11-27 14:12:15.585,-78,-18.4,-95.3,22.3,22.6,2/0,Application thrpt,42612.8,42612.8,42612.8,112006
2017-11-27 14:12:16.115,-78,-9,-101.7,22.3,22.4,2/0,Application thrpt,42612.8,42612.8,42612.8,112006
2017-11-27 14:12:16.625,-84.3,-9.8,-16.5,18.7,18.2,2/0,Application thrpt,42612.8,42612.8,42612.8,112006
2017-11-27 14:12:17.150,-83.7,-23.8,-15.2,19.1,17.5,2/0,Application thrpt,42612.8,42612.8,42612.8,112006
2017-11-27 14:12:17.275,-83.7,-23.8,-15.2,19.1,17.5,2/0,Application thrpt,42612.8,42612.8,42612.8,86413
2017-11-27 14:12:18.195,-81.9,-24.1,-108.6,22.2,21.6,2/0,Application thrpt,42612.8,42612.8,42612.8,86413
2017-11-27 14:12:18.710,-81.9,-23.1,-12.9,20.2,21.4,2/0,Application thrpt,42612.8,42612.8,42612.8,86413
2017-11-27 14:12:19.265,-83.6,-13.1,-13.9,22.3,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,86413
2017-11-27 14:12:19.280,-83.6,-13.1,-13.9,22.3,21.9,2/0,Application thrpt,42612.8,42612.8,42612.8,104809
